freq	dB(S(2,1))
4.97100000000000009E9	-6.96204409406957403E1
4.98099999999999987E9	-6.97423539588856034E1
4.99100000000000055E9	-6.98638517726632546E1
5.00100000000000033E9	-6.99849373887745241E1
5.01100000000000012E9	-7.01056137810199687E1
5.02099999999999991E9	-7.02258838907344529E1
5.03100000000000058E9	-7.03457506272580879E1
5.04100000000000037E9	-7.04652168683986968E1
5.05100000000000016E9	-7.05842854608859227E1
5.06099999999999994E9	-7.07029592208170943E1
5.07099999999999973E9	-7.08212409340953108E1
5.08100000000000041E9	-7.09391333568595961E1
5.09100000000000019E9	-7.10566392159074933E1
5.10100000000000087E9	-7.11737612091100225E1
5.11099999999999977E9	-7.12905020058196204E1
5.12100000000000044E9	-7.14068642472706205E1
5.13100000000000023E9	-7.15228505469729026E1
5.14100000000000001E9	-7.16384634910986762E1
5.15100000000000069E9	-7.17537056388624439E1
5.16099999999999959E9	-7.18685795228944890E1
5.17100000000000026E9	-7.19830876496078531E1
5.18100000000000005E9	-7.20972324995590697E1
5.19100000000000072E9	-7.22110165278026717E1
5.20100000000000051E9	-7.23244421642396240E1
5.21100000000000030E9	-7.24375118139599472E1
5.22100000000000009E9	-7.25502278575793280E1
5.23099999999999987E9	-7.26625926515703036E1
5.24100000000000055E9	-7.27746085285876187E1
5.25100000000000033E9	-7.28862777977882992E1
5.26100000000000012E9	-7.29976027451462350E1
5.27099999999999991E9	-7.31085856337617379E1
5.28100000000000058E9	-7.32192287041655998E1
5.29100000000000037E9	-7.33295341746185425E1
5.30100000000000016E9	-7.34395042414053556E1
5.31099999999999994E9	-7.35491410791244071E1
5.32099999999999973E9	-7.36584468409723581E1
5.33100000000000041E9	-7.37674236590242138E1
5.34100000000000019E9	-7.38760736445088106E1
5.35100000000000087E9	-7.39843988880798253E1
5.36099999999999977E9	-7.40924014600824687E1
5.37100000000000044E9	-7.42000834108157825E1
5.38100000000000023E9	-7.43074467707907083E1
5.39100000000000001E9	-7.44144935509842043E1
5.40100000000000069E9	-7.45212257430890368E1
5.41099999999999959E9	-7.46276453197597611E1
5.42100000000000026E9	-7.47337542348548567E1
5.43100000000000005E9	-7.48395544236748389E1
5.44100000000000072E9	-7.49450478031967116E1
5.45100000000000051E9	-7.50502362723048400E1
5.46100000000000030E9	-7.51551217120179693E1
5.47100000000000009E9	-7.52597059857129391E1
5.48099999999999987E9	-7.53639909393448004E1
5.49100000000000055E9	-7.54679784016633715E1
5.50100000000000033E9	-7.55716701844268535E1
5.51100000000000012E9	-7.56750680826116007E1
5.52099999999999991E9	-7.57781738746191724E1
5.53100000000000058E9	-7.58809893224798948E1
5.54100000000000037E9	-7.59835161720533314E1
5.55100000000000016E9	-7.60857561532259563E1
5.56099999999999994E9	-7.61877109801054342E1
5.57099999999999973E9	-7.62893823512123426E1
5.58100000000000041E9	-7.63907719496686166E1
5.59100000000000019E9	-7.64918814433835514E1
5.60100000000000087E9	-7.65927124852366870E1
5.61099999999999977E9	-7.66932667132581081E1
5.62100000000000044E9	-7.67935457508060715E1
5.63100000000000023E9	-7.68935512067418436E1
5.64100000000000001E9	-7.69932846756022649E1
5.65100000000000069E9	-7.70927477377692316E1
5.66099999999999959E9	-7.71919419596372602E1
5.67100000000000026E9	-7.72908688937781641E1
5.68100000000000005E9	-7.73895300791035634E1
5.69100000000000072E9	-7.74879270410248289E1
5.70100000000000051E9	-7.75860612916108749E1
5.71100000000000030E9	-7.76839343297435381E1
5.72100000000000009E9	-7.77815476412706897E1
5.73099999999999987E9	-7.78789026991573330E1
5.74100000000000055E9	-7.79760009636342222E1
