time	Vo_no_amp
3.43220000000002301E-9	-9.08603954747287723E-9
3.44220000000002280E-9	-1.04965942372002718E-8
3.45220000000002303E-9	-1.17882532847015176E-8
3.46220000000002370E-9	-1.29299267809274321E-8
3.47220000000002260E-9	-1.38921908081938494E-8
3.48220000000002283E-9	-1.46479796820007668E-8
3.49220000000002440E-9	-1.51732531474015486E-8
3.50220000000002329E-9	-1.54476215623604807E-8
3.51220000000002353E-9	-1.54549125714557056E-8
3.52220000000002420E-9	-1.51836637580924538E-8
3.53220000000002443E-9	-1.46275276277019439E-8
3.54220000000002377E-9	-1.37855782181665631E-8
3.55220000000002489E-9	-1.26625116922309955E-8
3.56220000000002601E-9	-1.12687350389574026E-8
3.57220000000002491E-9	-9.62033746955922808E-9
3.58220000000002470E-9	-7.73893994903764693E-9
3.59220000000002537E-9	-5.65142111911857725E-9
3.60220000000002472E-9	-3.38952228559688207E-9
3.61220000000002539E-9	-9.89338433387163718E-10
3.62220000000002518E-9	1.50929482412282923E-9
3.63220000000002541E-9	4.06350663758027508E-9
3.64220000000002564E-9	6.62817538286887320E-9
3.65220000000002631E-9	9.15677734705508328E-9
3.66220000000002655E-9	1.16022834790078444E-8
3.67220000000002678E-9	1.39180869266201857E-8
3.68220000000002701E-9	1.60589426332470087E-8
3.69220000000002635E-9	1.79818984292376749E-8
3.70220000000002702E-9	1.96471958294815141E-8
3.71220000000002726E-9	2.10191193330707948E-8
3.72220000000002749E-9	2.20667753628751839E-8
3.73220000000002727E-9	2.27647846316629376E-8
3.74220000000002795E-9	2.30938734017604475E-8
3.75220000000002729E-9	2.30413500248638847E-8
3.76220000000002663E-9	2.26014544583346177E-8
3.77220000000002553E-9	2.17755708263734116E-8
3.78220000000002665E-9	2.05722962399724496E-8
3.79220000000002599E-9	1.90073624852216527E-8
3.80220000000002667E-9	1.71034107581618233E-8
3.81220000000002468E-9	1.48896234250803139E-8
3.82220000000002491E-9	1.24012203827360423E-8
3.83220000000002425E-9	9.67883027882856695E-9
3.84220000000002582E-9	6.76774855251657481E-9
3.85220000000002516E-9	3.71709581655939569E-9
3.86220000000002450E-9	5.78892453334036539E-10
3.87220000000002340E-9	-2.59293167315465301E-9
3.88220000000002319E-9	-5.74357092695916904E-9
3.89220000000002342E-9	-8.81839843317344751E-9
3.90220000000002232E-9	-1.17640189693097508E-8
3.91220000000002388E-9	-1.45292983767462247E-8
3.92220000000002234E-9	-1.70663483747402611E-8
3.93220000000002168E-9	-1.93314466340672553E-8
3.94220000000002235E-9	-2.12858733190972549E-8
3.95220000000002258E-9	-2.28966468122354483E-8
3.96220000000002148E-9	-2.41371428748696149E-8
3.97220000000002127E-9	-2.49875835031658333E-8
3.98220000000002017E-9	-2.54353847792272214E-8
3.99220000000002084E-9	-2.54753570125618323E-8
4.00220000000002152E-9	-2.51097545419415757E-8
4.01220000000002130E-9	-2.43481758553321281E-8
4.02220000000001932E-9	-2.32073171617473406E-8
